Row #,Species,Count,Location,S/P,Date,LocID,SubID,Coords
90,Red-breasted Merganser - Mergus serrator,3,Sandy Hook--C Lot & Beach,US-NJ,29 Nov 2020,L2445730,S76876584,"40.4173516,-73.9810753"
91,Surf Scoter - Melanitta perspicillata,11,"Sandy Hook--Lot I, Proving Grounds, and North Beach Pavillion",US-NJ,29 Nov 2020,L10874116,S76875722,"40.467049, -73.998396"
92,Red-throated Loon - Gavia stellata,1,"Sandy Hook--Lot I, Proving Grounds, and North Beach Pavillion",US-NJ,29 Nov 2020,L10874116,S76875722,"40.467049, -73.998396"
93,Snow Bunting - Plectrophenax nivalis,50,"Sandy Hook--Lot I, Proving Grounds, and North Beach Pavillion",US-NJ,29 Nov 2020,L10874116,S76875722,"40.467049, -73.998396"
94,White-breasted Nuthatch - Sitta carolinensis,1,Great Swamp NWR--Wildlife Observation Center,US-NJ,27 Nov 2020,L722649,S76773402,"40.712492,-74.4879055"
95,Winter Wren - Troglodytes hiemalis,1,Great Swamp NWR--Wildlife Observation Center,US-NJ,27 Nov 2020,L722649,S76773402,"40.712492,-74.4879055"
96,Tennessee Warbler - Leiothlypis peregrina,1,Great Swamp NWR--Wildlife Observation Center,US-NJ,27 Nov 2020,L722649,S76773402,"40.712492,-74.4879055"
97,Hairy Woodpecker - Dryobates villosus,1,The Celery Farm,US-NJ,22 Nov 2020,L229904,S76582052,"41.0364972,-74.1271909"
98,Pileated Woodpecker - Dryocopus pileatus,2,The Celery Farm,US-NJ,22 Nov 2020,L229904,S76582052,"41.0364972,-74.1271909"
99,Common Raven - Corvus corax,1,"Mercer Street, Jersey City, New Jersey, US",US-NJ,16 Nov 2020,L11465561,S76337070,"40.718171, -74.045039"
100,Northern Pintail - Anas acuta,11,Richard W. DeKorte Park--Marsh Discovery Trail,US-NJ,14 Nov 2020,L1794321,S76260125,"40.785376,-74.1005132"
101,Hooded Merganser - Lophodytes cucullatus,3,Richard W. DeKorte Park--Marsh Discovery Trail,US-NJ,14 Nov 2020,L1794321,S76260125,"40.785376,-74.1005132"
102,Bufflehead - Bucephala albeola,2,Jamaica Bay Wildlife Refuge--East Pond,US-NY,08 Nov 2020,L109144,S76025584,"40.6226854,-73.8220096"
103,Eared Grebe - Podiceps nigricollis,1,Jamaica Bay Wildlife Refuge--East Pond,US-NY,08 Nov 2020,L109144,S76025584,"40.6226854,-73.8220096"
104,Black-capped Chickadee - Poecile atricapillus,3,Jamaica Bay Wildlife Refuge--West Pond,US-NY,08 Nov 2020,L109145,S76024668,"40.6188482,-73.8307995"
